condition,snippet_id,snippet_text,question,run,score,reasoning
lstm_vae,lstm-vae-lines:0389,i feel this mind,2,5,2,"This extremely brief phrase reads as a minimalist poetic fragment or meditative utterance, fitting comfortably within recognized traditions of minimalist poetry, haiku-adjacent expression, or contemplative lyric."
standard_llm,llm-lines:0228,eyes find truth in empty fields,2,4,1,"This is a brief, imagistic line that reads immediately as poetry or a poetic fragment, fitting comfortably within the tradition of minimalist or haiku-like lyric verse."
standard_llm,llm-lines:0250,faded pictures line the canyon wall,1,4,1,"This line reads like a deliberately crafted poetic image — ""faded pictures"" evokes both literal pictographs/petroglyphs and a sense of memory or loss, while ""canyon wall"" provides a specific, evocative setting, and the whole line has a careful rhythm and compression that suggests intentional literary design."
lstm_vae,lstm-vae-lines:0558,it's all i believe,2,3,2,"This extremely brief fragment could be a lyric, a line of poetry, a personal statement, or a fragment of dialogue, and its brevity and simplicity make it too minimal to firmly categorize but it easily fits within recognizable modes like lyrical poetry or song lyrics."
lstm_vae,lstm-vae-lines:0558,it's all i believe,1,4,4,"This brief phrase feels like a fragment of natural speech or song lyric — its simplicity and emotional directness don't suggest deliberate literary crafting, but its brevity and ambiguity could be either artlessly sincere or minimally designed."
lstm_vae,lstm-vae-lines:0220,but a difference question's gone,2,3,4,"This very brief fragment reads like a grammatically fractured phrase that could be a line from experimental or abstract poetry, but its extreme brevity and ambiguity make it hover between recognizable experimental/fragmentary poetic modes and something too minimal to firmly categorize."
standard_llm,llm-lines:0604,shadows crawl under electric skies.,1,5,1,"This is a compact, imagistic line that feels deliberately crafted for poetic effect — ""shadows crawl"" is a purposeful personification, ""electric skies"" is a chosen atmospheric image, and the juxtaposition between organic movement and technological atmosphere reads as an intentional artistic construction."
standard_llm,llm-lines:0733,sunsets burn like borrowed time.,2,4,1,"This is a concise, metaphorical statement that fits squarely within the tradition of aphoristic poetry or lyrical fragment, immediately recognizable as a poetic mode with its imagery, simile, and compressed emotional resonance."
lstm_vae,lstm-vae-lines:0159,and we are merely effects,1,2,1,"This reads as a deliberate literary reworking of Shakespeare's ""All the world's a stage, and all the men and women merely players,"" substituting ""effects"" for ""players"" to create a philosophical/poetic resonance about causality and insignificance — a clearly crafted intertextual move."
lstm_vae,lstm-vae-lines:0367,i expect you on my dreams,1,5,5,"This reads like a non-native English speaker's genuine attempt to express a personal sentiment, where the ungrammatical ""on"" instead of ""in"" creates an accidental poetic strangeness — transforming a commonplace phrase into something that feels like expectation placed upon dreams rather than within them — and this quality feels entirely unintended."
standard_llm,llm-lines:0089,broken wings still feel the wind.,2,1,1,"This is a concise, metaphorical statement that reads immediately as a poetic aphorism or fragment of lyric poetry, fitting squarely within the tradition of short-form poetic writing or inspirational verse."
standard_llm,llm-lines:0030,a touch fades like smoke in the rain,2,5,1,"This is a brief, imagistic line that is immediately recognizable as poetic or lyrical writing, employing simile and sensory imagery in a way consistent with poetry or lyrical prose fragments."
standard_llm,llm-lines:0913,they walk through fire without fear,2,1,1,"This is a short declarative sentence that reads as a line of poetry, aphorism, or lyrical prose, fitting comfortably within recognized poetic or inspirational/mythic modes of writing."
lstm_vae,lstm-vae-lines:0159,and we are merely effects,1,4,1,"This reads as a deliberate reworking of Shakespeare's ""All the world's a stage, / And all the men and women merely players,"" substituting ""effects"" for ""players"" in a calculated way that shifts the philosophical register from theater to causality, making it a clearly crafted literary allusion and transformation."
standard_llm,llm-lines:0032,a whisper of colors yet unseen,2,4,1,"This is a brief, evocative phrase that fits squarely within the tradition of lyrical or poetic writing, employing synesthesia and abstract imagery in a way that is immediately recognizable as poetic expression."
lstm_vae,lstm-vae-lines:0558,it's all i believe,2,4,2,"This extremely brief phrase reads as a fragment that could be a song lyric, a line of poetry, or a personal declaration, and its brevity and simplicity make it easily categorizable as a lyrical or poetic fragment."
lstm_vae,lstm-vae-lines:0220,but a difference question's gone,2,1,4,"This extremely brief fragment reads like a grammatically fractured phrase that could be a line from experimental or abstract poetry, but its brevity and ambiguity make it hover between recognizable experimental/minimalist poetry and something too fragmentary to categorize with confidence."
standard_llm,llm-lines:0574,"roads wear thin, but still they hold",2,5,1,"This is a concise, aphoristic line that reads clearly as poetry or lyrical fragment, with its metaphorical compression, iambic rhythm, and implied resilience theme fitting comfortably within recognizable poetic traditions."
lstm_vae,lstm-vae-lines:0828,this will be the night,2,2,1,"This extremely brief phrase could be a song lyric, a line of dialogue, a fragment of poetry, or a dramatic declaration, fitting easily into multiple recognizable modes without any resistance to categorization."
standard_llm,llm-lines:0733,sunsets burn like borrowed time.,2,1,1,"This is a concise, metaphor-driven fragment that is immediately recognizable as poetic — specifically in the tradition of aphoristic or epigrammatic poetry/lyric prose, with its figurative language and compressed emotional resonance."
lstm_vae,lstm-vae-lines:0432,i like the dream in your road,1,5,5,"This feels like it could be an accidental or non-native English construction where ""dream"" landed in an unexpected syntactic position, creating an unintentional poetic effect — the strangeness doesn't feel like it was engineered for literary impact but rather emerged from a process (perhaps translation, typo, or naive expression) that didn't fully anticipate the resonance of the phrase."
standard_llm,llm-lines:0250,faded pictures line the canyon wall,1,2,1,"This line reads like a deliberately crafted poetic image — the word ""faded"" evokes nostalgia, ""pictures"" metaphorically suggests petroglyphs or geological markings, and the compression into a single imagistic line feels like a conscious literary choice in the tradition of minimalist poetry."
standard_llm,llm-lines:0665,silence speaks in heavy breaths.,2,4,1,"This is a concise, aphoristic line that fits squarely within the tradition of lyrical/poetic writing, employing personification and paradox in a way that is immediately recognizable as a poetic fragment or aphorism."
lstm_vae,lstm-vae-lines:0104,and everything you feel,1,1,3,"This is a common, generic phrase fragment that could come from song lyrics, conversation, or any number of contexts — it lacks any distinctive literary features or surprising qualities, feeling neither deliberately crafted nor meaningfully unanticipated."
standard_llm,llm-lines:0654,silence burns with quiet rage,1,5,1,"This is a compact, deliberately constructed oxymoronic phrase that pairs ""silence"" with ""burns"" and ""quiet"" with ""rage,"" employing a well-established poetic technique of juxtaposing contradictory terms for emotional intensity — it feels very much like a crafted line of poetry."
standard_llm,llm-lines:0759,the earth breathes with a heavy heart,2,3,1,"This is a straightforward example of lyrical/poetic writing employing personification, fitting neatly within the tradition of short poetic lines or aphoristic poetry."
lstm_vae,lstm-vae-lines:0429,i know you're going to die,2,1,2,"This extremely brief fragment could be a line of dialogue from fiction, poetry, drama, or even a song lyric—it's so minimal and decontextualized that it fits easily into multiple recognized modes without strongly belonging to any single one, but its directness and simplicity make it immediately readable as a familiar utterance."
lstm_vae,lstm-vae-lines:0352,i can do it all again,1,3,4,"This is a simple, unadorned statement that feels like it could be spoken casually or pulled from everyday speech, a song lyric, or inner monologue — its resonance comes from its plainness and ambiguity rather than from any visible crafting or literary design."
standard_llm,llm-lines:0604,shadows crawl under electric skies.,1,4,1,"This reads as a deliberately crafted poetic line, with the personification of ""shadows crawl"" and the evocative juxtaposition of natural imagery (""shadows,"" ""skies"") with the modern/technological (""electric"") clearly designed to produce a specific atmospheric and literary effect."
lstm_vae,lstm-vae-lines:0714,something you feel,1,1,5,"This fragment is so minimal and generic that it lacks any discernible literary crafting or striking emergent quality — it reads like an incidental phrase extracted from a larger context, carrying no deliberate poetic design yet also no surprising accidental beauty."
standard_llm,llm-lines:0223,eyes close as dawn grows cold.,1,3,1,"This reads as a deliberately crafted poetic fragment — the juxtaposition of eyes closing with dawn (typically associated with opening/waking) and the unexpected pairing of dawn with coldness are classic techniques of compressed lyric poetry, showing conscious artistic design."
lstm_vae,lstm-vae-lines:0284,dreams . lead me in your dreams,2,5,2,"This brief, fragmented text reads as a minimalist poetic utterance or lyrical fragment, easily recognizable as belonging to the tradition of short-form poetry or song lyrics, with its lowercase styling and sparse punctuation being common conventions in contemporary poetry."
lstm_vae,lstm-vae-lines:0781,the world's burns,2,5,4,"This extremely brief fragment is ambiguous—it could be a possessive phrase (""the world's burns"") suggesting poetic or aphoristic writing, or it could be a typographical error for ""the world burns""—but its brevity and apparent incompleteness make it difficult to place in any established mode, though it gestures toward poetic or aphoristic territory."
lstm_vae,lstm-vae-lines:0825,this love that he's by,1,1,5,"This five-word phrase has an enigmatic, almost accidental quality — it reads like a fragment overheard or a mishearing, where the odd preposition ""by"" creates a strange spatial relationship with ""love"" that feels unintended rather than crafted, as though it were pulled from a larger context or generated without awareness of its peculiar resonance."
standard_llm,llm-lines:0692,songs buried in the sand of stars,1,5,1,"This is a compact, evocative phrase that feels deliberately crafted as a poetic image, combining ""songs,"" ""sand,"" and ""stars"" in a way that seems designed to produce a dreamlike, lyrical effect through its layered metaphors and alliteration."
standard_llm,llm-lines:0558,raindrops kiss the silent stones.,1,4,1,"This is a concise, deliberately crafted line of poetry employing personification (""kiss""), sensory imagery, and alliteration (""silent stones"") — all hallmarks of intentional literary design aimed at producing a specific evocative, tranquil effect."
lstm_vae,lstm-vae-lines:0389,i feel this mind,1,1,4,"This four-word phrase is so minimal and ambiguous that it feels like a fragment stripped of context — possibly a casual utterance, a piece of found text, or a line from a larger work — and its strange resonance (the oddness of ""this mind"" as an object of feeling) seems to arise from its bare simplicity rather than from deliberate poetic engineering."
standard_llm,llm-lines:0203,emptiness wears a velvet cloak,2,3,1,"This is a concise, metaphorical statement that fits squarely within the tradition of aphoristic poetry or lyric poetry, using personification and imagery in a way that is immediately recognizable as poetic writing."
standard_llm,llm-lines:0665,silence speaks in heavy breaths.,2,5,1,"This is a concise, aphoristic line that fits squarely within the tradition of lyrical/poetic writing, employing personification and paradox in a way immediately recognizable as poetry or poetic fragment."
standard_llm,llm-lines:0718,static fills the empty spaces,2,4,2,"This short phrase reads as a line of poetry or a lyrical fragment, fitting comfortably within minimalist or imagist poetic traditions, though its brevity and ambiguity give it a slight open-endedness."
lstm_vae,lstm-vae-lines:0618,let's dance and fear,2,1,2,"This extremely brief phrase reads as a simple imperative statement that could be a song title, a poem fragment, or a lyrical/poetic utterance, fitting easily into recognizable minimalist or poetic modes."
lstm_vae,lstm-vae-lines:0777,the visions of falling up like you,2,5,2,"This brief phrase reads as a fragment of lyric poetry or song lyrics, with its dreamlike imagery and direct address (""like you""), fitting comfortably within recognizable poetic/lyrical modes."
lstm_vae,lstm-vae-lines:0429,i know you're going to die,2,3,1,"This extremely brief fragment could function as a line of dialogue, a piece of flash poetry, a lyric, or a dramatic statement, making it easy to slot into several recognized modes (minimalist poetry, dialogue, confessional writing) without any features that resist categorization."
standard_llm,llm-lines:0025,a stranger's smile fades with the rain,1,1,1,"This reads as a deliberately composed poetic line, with its carefully constructed parallelism between the fading smile and fading rain creating a melancholic image that feels intentionally crafted for emotional and aesthetic effect."
lstm_vae,lstm-vae-lines:0459,i will be believe,1,2,5,"This appears to be a simple grammatical error (likely ""I will believe"" with an accidental extra ""be""), and its strange, almost prophetic quality — as if belief is something one becomes rather than does — feels entirely unintentional, arising from a mistake rather than from any deliberate literary design."
lstm_vae,lstm-vae-lines:0603,just the wind,2,3,2,"This extremely minimal fragment could be a line of poetry, a piece of dialogue, a title, or a minimalist/flash writing exercise, but its brevity and simplicity make it easily recognizable as fitting within minimalist or micro-poetry traditions."
lstm_vae,lstm-vae-lines:0348,i by the dream again,2,3,4,"This five-word fragment reads like a truncated or minimalist poetic utterance, reminiscent of stream-of-consciousness or experimental poetry, but its extreme brevity and grammatical ambiguity make it feel more like an incomplete thought or text message fragment than a deliberate piece in any established mode."
standard_llm,llm-lines:0718,static fills the empty spaces,1,2,1,"This reads as a deliberately crafted poetic line, with its compact structure, dual meaning of ""static"" (noise and stillness), and the paradox of emptiness being filled — all suggesting intentional literary design."
lstm_vae,lstm-vae-lines:0348,i by the dream again,2,4,2,"This five-word fragment resembles a minimalist poetic utterance or a line of experimental/abstract poetry, with its grammatical incompleteness and dreamlike quality fitting recognizably within traditions of fragmentary or minimalist verse."
lstm_vae,lstm-vae-lines:0777,the visions of falling up like you,2,1,2,"This brief fragment reads as a line of poetry or song lyric, fitting comfortably within the tradition of lyrical/poetic writing with its dreamlike imagery and direct address, though its brevity makes it feel like an incomplete fragment rather than a fully realized piece."
standard_llm,llm-lines:0913,they walk through fire without fear,1,1,1,"This is a straightforward declarative statement using a common metaphor/image (walking through fire) that reads like a line from a song, poem, or motivational text, clearly crafted for dramatic and inspirational effect."
lstm_vae,lstm-vae-lines:0432,i like the dream in your road,1,2,5,"This reads like a sentence produced by someone with limited English proficiency or by a generative process (like a language model or cut-up technique), where the unexpected juxtaposition of ""dream"" and ""road"" creates an accidental poetic quality that feels unintended rather than crafted toward a specific literary effect."
lstm_vae,lstm-vae-lines:0558,it's all i believe,1,5,4,"This brief phrase feels like a simple, earnest declaration — possibly a fragment of speech, song lyrics, or personal expression — whose plainness and emotional directness give it a quality of unadorned sincerity rather than deliberate literary crafting."
lstm_vae,lstm-vae-lines:0980,you're running out,2,4,4,"This ultra-minimal fragment could be a text message, a warning, a line of dialogue, a poem fragment, or an imperative statement, and its extreme brevity and ambiguity make it hard to assign to any particular mode, though its terseness is reminiscent of minimalist poetry or flash text."
standard_llm,llm-lines:0104,cold embraces burn the night,2,1,1,"This is a concise, imagistic phrase that is immediately recognizable as poetic writing, employing oxymoron (""cold embraces burn"") and personification in a way characteristic of lyric poetry or poetic fragments."
standard_llm,llm-lines:0281,flowers fade in dying light.,1,2,1,"This is a compact, conventionally poetic phrase that employs familiar imagery (flowers, fading, dying light) in a clearly deliberate arrangement aimed at producing a melancholic, elegiac effect — it reads as a purposefully crafted line of verse."
standard_llm,llm-lines:0203,emptiness wears a velvet cloak,1,1,1,"This is a concise, deliberate metaphor that personifies emptiness with a specific sensory image (velvet cloak), clearly crafted to evoke a particular aesthetic and emotional effect — the juxtaposition of absence with luxurious texture feels like a controlled poetic gesture."
lstm_vae,lstm-vae-lines:0159,and we are merely effects,1,5,1,"This reads as a deliberate literary allusion to Shakespeare's ""All the world's a stage, and all the men and women merely players,"" with ""players"" replaced by ""effects"" — a crafted substitution designed to produce a philosophical resonance about causality and agency."
lstm_vae,lstm-vae-lines:0826,this place where the end,1,5,3,"This fragment feels like it could be a line extracted from a poem, with its trailing incompleteness creating a suggestive, evocative quality, but it's ambiguous whether that effect was deliberately crafted or is simply the result of truncation — the phrase hovers between intentional poetic gesture and accidental fragment."
lstm_vae,lstm-vae-lines:0104,and everything you feel,1,4,4,"This brief phrase reads as a generic fragment of song lyrics or conversational speech, with no apparent literary devices or crafted effects, yet its simplicity and openness feel like a natural, unconstructed utterance rather than a deliberate artistic choice."
lstm_vae,lstm-vae-lines:0389,i feel this mind,2,4,3,"This extremely brief phrase could be read as a minimalist poetic fragment or a meditative/introspective utterance, but its extreme brevity and ambiguity make it hover between recognizable minimalist poetry and something too sparse to categorize with confidence."
standard_llm,llm-lines:0027,a thousand miles in moments lost to dust,1,5,1,"This reads as a deliberately composed poetic line, with its carefully balanced rhythm, evocative imagery of distance and ephemerality, and the precise placement of ""dust"" as a closing image — all hallmarks of intentional literary craft."
standard_llm,llm-lines:0718,static fills the empty spaces,2,5,2,"This short phrase reads as a line of poetry or a lyrical fragment, fitting comfortably within minimalist or imagist poetic traditions, though its brevity and ambiguity give it a slight open-endedness."
lstm_vae,lstm-vae-lines:0890,we're the dream of love,2,2,1,"This brief phrase is immediately recognizable as a lyrical or poetic fragment, fitting comfortably within the tradition of song lyrics, love poetry, or aphoristic verse."
lstm_vae,lstm-vae-lines:0389,i feel this mind,1,5,4,"This four-word phrase is so minimal and ambiguous that it's difficult to detect deliberate literary crafting — it reads more like a raw, unadorned utterance or fragment of thought, yet its very simplicity gives it an accidental poetic quality, as if someone were groping toward expression rather than constructing it."
standard_llm,llm-lines:0432,leaves drift on the breath of dawn.,1,1,1,"This is a short, polished line with conventional poetic imagery — ""breath of dawn"" is a well-worn personification, and the overall construction feels like a deliberately crafted poetic fragment aiming for a serene, lyrical effect."
lstm_vae,lstm-vae-lines:0777,the visions of falling up like you,2,2,2,"This brief fragment reads as a line of poetry or song lyric, fitting comfortably within the poetic/lyrical mode with its dreamlike imagery and direct address, though its brevity and lack of context make it slightly ambiguous."
standard_llm,llm-lines:0733,sunsets burn like borrowed time.,2,3,1,"This is a concise, metaphorical statement that immediately reads as poetic — specifically as an aphoristic or lyrical fragment in the tradition of short-form poetry or Instagram-style micro-poetry."
lstm_vae,lstm-vae-lines:0270,dance when the devil's over,2,2,2,"This very short phrase reads as a fragment that could be a song lyric, aphorism, or poetic line, fitting recognizably into the mode of lyrical/poetic expression, though its brevity and ambiguity give it a slightly enigmatic quality."
lstm_vae,lstm-vae-lines:0104,and everything you feel,2,2,4,"This is too short a fragment to meaningfully categorize—it reads as a partial line that could belong to song lyrics, poetry, conversational speech, or countless other contexts, making it impossible to assign a genre with any confidence."
standard_llm,llm-lines:0758,the dawn whispers of dreams undone,1,2,1,"This is a short, polished phrase that deploys familiar poetic conventions — personification of dawn, the verb ""whispers,"" the melancholy abstraction of ""dreams undone"" — all of which feel like deliberate choices aimed at producing a wistful, lyrical effect."
standard_llm,llm-lines:0604,shadows crawl under electric skies.,1,2,1,"This is a compact, deliberately crafted poetic line with a clear metaphorical structure — ""shadows crawl"" is a purposeful personification and ""electric skies"" is a designed image — both working together to create an atmospheric, slightly dystopian impression that feels intentionally composed."
lstm_vae,lstm-vae-lines:0980,you're running out,2,3,4,"This ultra-brief fragment could be a text message, a warning, a line of dialogue, a poetic fragment, or an imperative statement — its extreme brevity and ambiguity make it difficult to place in any specific mode, though its simplicity doesn't feel like it's actively resisting categorization so much as being too minimal to categorize."
standard_llm,llm-lines:0142,distant stars hang on broken trees,2,5,1,"This is a concise, imagistic line that fits comfortably within recognized poetic traditions—specifically imagist or lyrical poetry—with its juxtaposition of celestial and terrestrial imagery evoking a familiar mode of compressed, metaphorical expression."
standard_llm,llm-lines:0027,a thousand miles in moments lost to dust,2,5,1,"This is a concise, imagistic line that is immediately recognizable as poetic — it employs lyrical compression, abstract imagery, and a rhythmic cadence characteristic of poetry or lyric fragment."
lstm_vae,lstm-vae-lines:0459,i will be believe,2,4,4,"This four-word fragment resembles a grammatical error or typo rather than an intentional literary mode, though its brevity and broken syntax could be read as a minimal poetic utterance or affirmation; it's too short and ambiguous to firmly place in any category."
lstm_vae,lstm-vae-lines:0270,dance when the devil's over,1,2,4,"This short phrase feels like a fragment of a proverb or song lyric that has been slightly garbled or truncated (possibly from ""dance with the devil"" or similar idioms), giving it an enigmatic quality that seems to arise from decontextualization or mishearing rather than from deliberate literary crafting."
lstm_vae,lstm-vae-lines:0006,a longing of heaven,2,1,1,"This very brief phrase reads as a poetic fragment or devotional expression, immediately recognizable as belonging to the lyrical/poetic mode with spiritual or religious overtones."
lstm_vae,lstm-vae-lines:0867,we feel our side by fire,1,1,4,"This short phrase has an enigmatic, almost accidental quality — it reads like a fragment that could have emerged from a mishearing, a translation error, or a generative process, yet its strange beauty (the tactile ""feel,"" the bodily ""side,"" the elemental ""fire"") feels unintended rather than carefully orchestrated toward a poetic goal."
standard_llm,llm-lines:0616,shadows deepen beneath the pines,1,3,1,"This reads as a deliberately composed line of nature poetry, with careful attention to sound (the soft consonants), imagery, and mood — it feels like a crafted fragment designed to evoke atmosphere."
lstm_vae,lstm-vae-lines:0220,but a difference question's gone,2,4,4,"This extremely brief fragment reads like a grammatically fractured phrase that could be a line from experimental or abstract poetry, but its brevity and ambiguity make it difficult to place with confidence in any specific tradition."
standard_llm,llm-lines:0095,"caught in static, our hearts lose their beat",2,5,1,"This is a concise, metaphorical line that reads immediately as poetry or song lyrics, employing familiar poetic devices like personification and juxtaposition of technological and emotional imagery."
standard_llm,llm-lines:0654,silence burns with quiet rage,1,2,1,"This is a compact, deliberately constructed oxymoronic phrase that pairs ""silence"" with ""burns"" and ""quiet"" with ""rage"" in a clearly intentional pattern of contrasts designed to create a specific poetic tension."
standard_llm,llm-lines:0095,"caught in static, our hearts lose their beat",1,5,1,"This reads as a deliberately crafted lyrical or poetic line, with the metaphor of ""static"" mapped onto emotional disconnection and the wordplay on ""beat"" (rhythm/heartbeat) clearly designed for effect."
lstm_vae,lstm-vae-lines:0867,we feel our side by fire,1,2,4,"This short phrase has an enigmatic, almost accidental quality — its ambiguity (""side by fire"" could be bodily, spatial, elemental) feels less like a carefully constructed poetic image and more like a fragment that arrived at its strange resonance through compression or happenstance, though the elemental imagery of fire and bodily sensation could suggest some poetic intent."
lstm_vae,lstm-vae-lines:0432,i like the dream in your road,1,4,4,"This reads like a sentence produced by someone with limited English proficiency or by a generative process (like a language model or cut-up technique), where the unexpected juxtaposition of ""dream"" and ""road"" creates an accidental poetic quality that doesn't feel deliberately crafted for literary effect."
standard_llm,llm-lines:0223,eyes close as dawn grows cold.,2,1,1,"This is a concise, imagistic fragment that fits squarely within the tradition of minimalist poetry or haiku-like verse, immediately recognizable as a poetic mode."
lstm_vae,lstm-vae-lines:0714,something you feel,1,3,4,"This fragment is so minimal and generic that it lacks any discernible literary crafting or intentional artistic effect, yet its very plainness doesn't feel like it emerged from a process unaware of meaning — it reads like a casual, unremarkable phrase fragment with no particular aesthetic dimension in either direction."
standard_llm,llm-lines:0027,a thousand miles in moments lost to dust,2,2,1,"This is a concise, imagistic line that reads immediately as poetry or a poetic fragment, with its lyrical compression, metaphorical language, and rhythmic cadence fitting squarely within recognized poetic traditions."
lstm_vae,lstm-vae-lines:0714,something you feel,1,4,5,"This fragment is so minimal and generic that it lacks any discernible literary crafting or striking emergent quality — it reads like a phrase extracted from ordinary speech or a sentence fragment, arriving without design but also without any remarkable unanticipated quality."
lstm_vae,lstm-vae-lines:0163,and we feel different later,1,3,4,"This fragment feels like it was extracted from a larger context rather than crafted as a standalone literary statement; its plainness and simplicity give it an undesigned, almost overheard quality, though its isolation as a fragment lends it a faint poetic resonance that could suggest minimal curation."
standard_llm,llm-lines:0754,the dark hums with secrets untold.,2,1,1,"This is a concise, evocative line that fits squarely within the tradition of lyrical/poetic writing, with its personification, imagery, and rhythmic cadence making it immediately recognizable as poetry or a poetic fragment."
lstm_vae,lstm-vae-lines:0714,something you feel,2,2,4,"This is an extremely minimal fragment—just three words—that could be a phrase from virtually any context (poetry, song lyric, conversation, instruction, advertising), making it too brief to firmly categorize yet too generic to say it resists categorization in an interesting way."
standard_llm,llm-lines:0281,flowers fade in dying light.,2,3,1,"This is a concise, imagistic line that is immediately recognizable as poetry (or a poetic fragment), fitting squarely within lyric/imagist poetic traditions with its natural imagery, melancholic tone, and rhythmic compression."
standard_llm,llm-lines:0654,silence burns with quiet rage,2,3,1,"This is a concise, aphoristic line that fits squarely within the tradition of lyric poetry or poetic fragment, employing oxymoron and personification in a way that is immediately recognizable as a poetic mode."
lstm_vae,lstm-vae-lines:0714,something you feel,1,2,5,"This fragment is so minimal and generic that it lacks any discernible literary crafting or striking emergent quality — it reads like a snippet pulled from ordinary speech or a larger sentence, arriving at its vagueness without any apparent intention or artistry."
lstm_vae,lstm-vae-lines:0459,i will be believe,1,4,5,"This tiny phrase feels like a grammatical accident — perhaps a typo or a non-native speaker's error — yet its accidental insertion of ""be"" before ""believe"" creates an unexpectedly resonant conflation of being and believing that no deliberate poet would likely arrive at in quite this unadorned way."
standard_llm,llm-lines:0025,a stranger's smile fades with the rain,2,1,1,"This is a brief, imagistic line that fits squarely within recognizable poetic modes—it reads as a haiku-like or minimalist lyric poetry fragment with a clear melancholic tone and nature imagery."
lstm_vae,lstm-vae-lines:0777,the visions of falling up like you,2,3,2,"This brief phrase reads as a fragment of lyric poetry or song lyrics, with its dreamlike imagery and direct address (""like you""), fitting comfortably within recognizable poetic/lyrical modes."
lstm_vae,lstm-vae-lines:0104,and everything you feel,1,3,4,"This brief phrase reads as a generic fragment of song lyrics or conversational speech, with no apparent literary devices or crafted imagery, yet its simplicity doesn't feel like it arose from an unusual or unintended process either — it's just a common, unremarkable clause."
standard_llm,llm-lines:0517,"my voice, just an echo of static.",2,2,1,"This brief fragment reads as a clear example of confessional or lyrical poetry, with its first-person introspection, metaphorical imagery, and fragmented syntax fitting comfortably within contemporary poetic traditions."
standard_llm,llm-lines:0759,the earth breathes with a heavy heart,2,4,1,"This is a straightforward example of lyrical/poetic writing employing personification, fitting comfortably within recognizable traditions of nature poetry and poetic prose."
lstm_vae,lstm-vae-lines:0777,the visions of falling up like you,1,2,4,"This short phrase has a dreamlike, poetic quality with the paradox of ""falling up,"" but its brevity and slightly ungrammatical, fragment-like structure suggest it could be a line pulled from a song lyric or casual writing rather than a carefully constructed literary piece — it feels like it stumbled into its evocativeness rather than being meticulously designed."
standard_llm,llm-lines:0616,shadows deepen beneath the pines,2,2,1,"This is a concise, imagistic line that fits comfortably within recognized poetic traditions—it reads as a haiku fragment, an imagist poem, or a line of nature poetry, all of which are well-established modes."
lstm_vae,lstm-vae-lines:0344,i am all of hate in fear,1,3,4,"This short phrase has a raw, grammatically fractured quality that could be either a deliberately crafted minimalist poetic utterance (playing on the unexpected preposition ""in"" and the abstraction of ""all of hate"") or an unpolished, spontaneous expression where the strangeness arises from limited control over language rather than artistic intent — the ambiguity tips it slightly toward feeling unanticipated."
lstm_vae,lstm-vae-lines:0099,and a mother's daughter with lies eyes,2,4,2,"This brief fragment reads as a line of poetry with a slightly surreal or enigmatic quality—""lies eyes"" introduces an unexpected compound that could be a typo or a deliberate poetic distortion—but it fits comfortably within recognizable poetic/lyrical traditions, particularly fragmentary or experimental poetry."
lstm_vae,lstm-vae-lines:0867,we feel our side by fire,1,3,4,"This short phrase has an enigmatic, almost accidental quality — it reads like a fragment that could have emerged from mishearing, automatic writing, or a translation artifact, yet its evocative imagery of bodily sensation and fire gives it an unintended poetic resonance."
lstm_vae,lstm-vae-lines:0270,dance when the devil's over,2,5,2,"This very short phrase reads as a fragment that could be a song lyric, aphorism, or poetic line, fitting comfortably within recognizable modes of lyrical/poetic expression, though its brevity and slight cryptic quality give it a minor edge of ambiguity."
standard_llm,llm-lines:0517,"my voice, just an echo of static.",2,5,1,"This short fragment reads as a clear example of lyrical/poetic writing, employing metaphor and a confessional first-person tone characteristic of contemporary poetry or song lyrics."
lstm_vae,lstm-vae-lines:0867,we feel our side by fire,2,4,2,"This brief, enigmatic phrase has a compressed, imagistic quality that evokes poetry—particularly minimalist or fragmentary poetry in the tradition of short lyric or even haiku-like utterances—though its slight grammatical ambiguity and sensory abstraction give it a mildly elusive quality."
lstm_vae,lstm-vae-lines:0163,and we feel different later,1,2,5,"This fragment reads like a line extracted from ordinary speech or thought, its quiet emotional resonance feeling entirely unforced and undesigned, as though it simply arrived as a plain observation rather than being crafted for poetic effect."
standard_llm,llm-lines:0104,cold embraces burn the night,2,4,1,"This is a short, imagistic phrase that immediately reads as poetry—specifically lyrical or possibly dark romantic poetry—employing oxymoron (""cold embraces burn"") in a way that is a well-established poetic device."
lstm_vae,lstm-vae-lines:0826,this place where the end,2,2,2,"This extremely brief fragment reads as a line of poetry or a truncated poetic utterance, fitting comfortably within minimalist or fragmentary poetic traditions."
standard_llm,llm-lines:0250,faded pictures line the canyon wall,2,1,1,"This is a short, imagistic line that reads immediately as poetry—specifically reminiscent of haiku-like minimalism or Imagist poetry, with its concise, evocative visual description of a landscape."
lstm_vae,lstm-vae-lines:0348,i by the dream again,1,5,5,"This fragment feels like it emerged accidentally — perhaps from a typo, a half-remembered thought, or a broken sentence — yet it carries an accidental poetic resonance (""by the dream again"") that feels entirely unintended rather than crafted."
lstm_vae,lstm-vae-lines:0890,we're the dream of love,1,3,1,"This reads as a deliberately crafted poetic or lyrical fragment — a concise, evocative metaphor that feels intentionally composed to produce a romantic, ethereal effect, likely a song lyric or line of poetry."
standard_llm,llm-lines:0223,eyes close as dawn grows cold.,2,2,1,"This is a concise, imagistic fragment that is immediately recognizable as a line of poetry—specifically minimalist or haiku-like lyric poetry, fitting squarely within established poetic traditions."
